OBJECTID,TRL_NAME,PARK_NAME,TRL_ID,SEG_ID,FEATURE,FEAT_CMNT,ELEV_FT,CITY_JUR,ZIP_CODE,SUP_DIST,X_STREET,PARKING,PHOTO,LAT,LON,FID,x,y
7769,Medea Creek Trail,National Parks Service,20082,200820000,TAPO,Auto Generated and Verified,831,Unincorporated Los Angeles County,91301,3rd District,28825 Lake Vista Dr,SA,,34.11305718,-118.75152666,1,-118.75152666,34.11305718
8047,Hearst Tank Motorway,National Parks Service,20067,200670000,TAPO,,1555,Unincorporated Los Angeles County,90290,3rd District,3200 Tuna Canyon Rd,ST,,34.05968704,-118.61654529,2,-118.61654529,34.05968704
7770,Medicine Woman Trail,National Parks Service,20084,200840000,TH,Auto Generated and Verified,758,Unincorporated Los Angeles County,91301,3rd District,2900 Cornell Rd,SA,,34.11736375,-118.75683927,3,-118.75683927,34.11736375
8048,Pipe Corral Spur Trail,CA State Parks - Topanga,10133,101330000,TAPO,Auto Generated and Verified,0,Los Angeles,90272,3rd District,,ST,,34.07934551,-118.51972364,4,-118.51972364,34.07934551
7773,Mesa Peak Motorway,CA State Parks - Malibu Creek,10112,101120000,TH,Auto Generated and Verified,1982,Unincorporated Los Angeles County,90265,3rd District,300 Corral Canyon Rd,ST,,34.07905997,-118.75556306,5,-118.75556306,34.07905997
8049,Willow Creek Trail,CA State Parks - Leo Carrillo,10176,101760000,TAPO,Auto Generated and Verified,0,Unincorporated Los Angeles County,90265,3rd District,35789 Pacific Coast Hwy,SA,,34.04716257,-118.93309434,6,-118.93309434,34.04716257
8050,Stunt Road - BBT Connector,CA State Parks - Malibu Creek,10156,101560000,TAPO,Added From NPS ParkEntrancePts.shp,0,Unincorporated Los Angeles County,91302,3rd District,814 Stunt Rd,ST,,34.08599879,-118.66008813,7,-118.66008813,34.08599879
7774,Modelo Trail,National Parks Service,20085,200850000,TH,Auto Generated and Verified,1011,Unincorporated Los Angeles County,91301,3rd District,Cheseboro Canyon Rd and Cheseboro Road,SA,,34.15655231,-118.73083841,8,-118.73083841,34.15655231
8051,Glade Trail - Topanga,CA State Parks - Topanga,10070,100700000,TAPO,Auto Generated and Verified,1191,Los Angeles,90290,3rd District,20800 Entrada Rd,SA,,34.09336192,-118.58731966,9,-118.58731966,34.09336192
7775,Monte Nido Connector,National Parks Service,20087,200870000,TAPO,Auto Generated and Verified,632,Unincorporated Los Angeles County,91302,3rd District,803 Wonder View Dr,ST,,34.08304412,-118.68487637,10,-118.68487637,34.08304412
7758,Lower Stunt High Trail,National Parks Service,20076,200760000,TH,Auto Generated and Verified,1263,Unincorporated Los Angeles County,91302,3rd District,1623 Stunt Rd,ST,,34.09492784,-118.64824444,11,-118.64824444,34.09492784
7776,Morrison Ranch Trail,National Parks Service,20088,200880000,TH,Auto Generated and Verified,809,Calabasas,91302,3rd District,5539 Las Virgenes Rd,ST,,34.15762013,-118.70056931,12,-118.70056931,34.15762013
7630,92 Trail,CA State Parks - Topanga,10002,100020000,TAPO,Auto Generated and Verified,1158,Unincorporated Los Angeles County,90290,3rd District,21042 Entrada Rd,ST,,34.09205297,-118.59242306,13,-118.59242306,34.09205297
7781,Musch Camp Access Road,CA State Parks - Topanga,10115,101150000,TAPO,Auto Generated and Verified,1085,Unincorporated Los Angeles County,90290,3rd District,20846 Hillside Dr,ST,,34.10392797,-118.58902806,14,-118.58902806,34.10392797
7782,Backbone Trail - Musch Trail,CA State Parks - Topanga,10118,101180000,TAPO,Auto Generated and Verified,1184,Unincorporated Los Angeles County,90290,3rd District,20800 Entrada Rd,SA,,34.09359514,-118.58745787,15,-118.58745787,34.09359514
7632,Agoura Equestrian Center Connector Trail,National Parks Service,20002,200020000,TH,Auto Generated and Verified,1011,Unincorporated Los Angeles County,91301,3rd District,Cheseboro Canyon Rd and Cheseboro Road,SA,,34.15655231,-118.73083841,16,-118.73083841,34.15655231
7783,Nature Trail,CA State Parks - Topanga,10119,101190001,TAPO,Auto Generated and Verified,1184,Los Angeles,90290,3rd District,20800 Entrada Rd,SA,,34.09356836,-118.58736273,17,-118.58736273,34.09356836
7633,Amy Way Trail,CA State Parks - Topanga,10003,100030000,TAPO,Auto Generated and Verified,1304,Los Angeles,90290,3rd District,298 Amy Way,ST,,34.08838793,-118.59056012,18,-118.59056012,34.08838793
7924,Backbone Trail,National Parks Service,30012,200190000,TH,Confirmed with NPS data points,1540,Unincorporated Los Angeles County,90265,3rd District,1701 S Kanan Dume Rd,SA,,34.07613002,-118.81594009,19,-118.81594009,34.07613002
7784,Newton Motorway (Cessna Drive),National Parks Service,20092,200920000,TH,Auto Generated and Verified,2243,Unincorporated Los Angeles County,90265,3rd District,Newton Mtwy,ST,,34.07766185,-118.78848679,20,-118.78848679,34.07766185
7788,Nicholas Flat Trail,CA State Parks - Leo Carrillo,10121,101210000,TAPO,Auto Generated and Verified,18,Unincorporated Los Angeles County,90265,3rd District,35789 Pacific Coast Hwy,SA,,34.04683663,-118.93306537,21,-118.93306537,34.04683663
7789,Nicholas Flat Trail,CA State Parks - Leo Carrillo,10121,101210000,TH,Auto Generated and Verified,1483,Unincorporated Los Angeles County,90265,3rd District,33700 Decker School Rd,ST,,34.07061305,-118.90648716,22,-118.90648716,34.07061305
